"Year","anpptot","npptot","C4_npp","C3_npp","aet_y","wsoi_y","CO2","SimulationType","Management","totcsoi","Location","Lat","Lon","vegtype0","gslenl3","gstdl3","annualprec"
1961,0.157467484474182,0.242025092244148,0,0.242025092244148,507.347869873047,0.597912549972534,316.672,"Only C3 grass allowed","Ungrazed",2.51595330238342,"FF",42.73796,-89.75369,10,201,16.5420532226562,979.020446777344
1962,0.191899925470352,0.358497947454453,0,0.358497947454453,514.941345214844,0.500335931777954,317.367,"Only C3 grass allowed","Ungrazed",2.53196144104004,"FF",42.73796,-89.75369,10,201,16.3834266662598,917.046203613281
1963,0.189002707600594,0.386271953582764,0,0.386271953582764,520.529357910156,0.530616343021393,318.097,"Only C3 grass allowed","Ungrazed",2.59163379669189,"FF",42.73796,-89.75369,10,209,16.1991481781006,835.4169921875
1964,0.200585409998894,0.396073371171951,0,0.396073371171951,536.06640625,0.563439071178436,318.861,"Only C3 grass allowed","Ungrazed",2.69874477386475,"FF",42.73796,-89.75369,10,187,17.0821514129639,976.757507324219
1965,0.184594571590424,0.355349481105804,0,0.355349481105804,519.304931640625,0.500692129135132,319.663,"Only C3 grass allowed","Ungrazed",2.81727480888367,"FF",42.73796,-89.75369,10,195,17.7565860748291,1017.13269042969
1966,0.200047627091408,0.414149433374405,0,0.414149433374405,520.830871582031,0.579329967498779,320.505,"Only C3 grass allowed","Ungrazed",2.94454216957092,"FF",42.73796,-89.75369,10,201,16.1239223480225,1009.13427734375
1967,0.202821969985962,0.388918936252594,0,0.388918936252594,535.132080078125,0.565056562423706,321.388,"Only C3 grass allowed","Ungrazed",3.05992889404297,"FF",42.73796,-89.75369,10,180,17.7473049163818,914.558227539062
1968,0.203178450465202,0.40726837515831,0,0.40726837515831,537.867736816406,0.562875747680664,322.314,"Only C3 grass allowed","Ungrazed",3.16828060150146,"FF",42.73796,-89.75369,10,187,17.0821514129639,976.757507324219
1969,0.195951655507088,0.398313730955124,0,0.398313730955124,521.423400878906,0.55825936794281,323.284,"Only C3 grass allowed","Ungrazed",3.27115559577942,"FF",42.73796,-89.75369,10,192,17.4669628143311,942.481323242188
1970,0.188876464962959,0.37589368224144,0,0.37589368224144,534.343383789062,0.490470767021179,324.298,"Only C3 grass allowed","Ungrazed",3.37414836883545,"FF",42.73796,-89.75369,10,201,17.4390544891357,697.321472167969
1971,0.205414637923241,0.425000905990601,0,0.425000905990601,532.711730957031,0.527891039848328,325.355,"Only C3 grass allowed","Ungrazed",3.47310853004456,"FF",42.73796,-89.75369,10,195,15.7268676757812,1084.51379394531
1972,0.192727595567703,0.349353790283203,0,0.349353790283203,530.270202636719,0.604260087013245,326.456,"Only C3 grass allowed","Ungrazed",3.56981754302979,"FF",42.73796,-89.75369,10,162,18.2310390472412,874.074462890625
1973,0.205315813422203,0.409831941127777,0,0.409831941127777,517.322692871094,0.506032407283783,327.6,"Only C3 grass allowed","Ungrazed",3.65421104431152,"FF",42.73796,-89.75369,10,184,16.9895401000977,874.038696289062
1974,0.204458922147751,0.43387496471405,0,0.43387496471405,565.504150390625,0.531044840812683,328.787,"Only C3 grass allowed","Ungrazed",3.73116588592529,"FF",42.73796,-89.75369,10,195,16.7811622619629,879.594177246094
1975,0.179248496890068,0.314922243356705,0,0.314922243356705,492.424468994141,0.467330396175385,330.015,"Only C3 grass allowed","Ungrazed",3.81033849716187,"FF",42.73796,-89.75369,10,162,18.1289119720459,793.504577636719
